,title,price,link
10,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop(Win11Home/16GB RAM/512GB SSD/Intel UHD Graphics/MSO)AL15-52H, 39.62cm(15.6"") FHD IPS Display, Backlit Keyboard, Pure Silver, 1.7KG  ","41,990",https://amazon.in//Acer-i5-12450H-Win11Home-Graphics-AL15-52H/dp/B0DDL495SX/ref=sr_1_6?crid=2FM0ACFC13V3N&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w&dib_tag=se&keywords=laptop&qid=1727074512&sr=8-6
11,"Lenovo V15 G2 15.6"" FHD Anti-Glare Business Laptop, Intel Celeron N4500, 8GB RAM, 256 SSD, Intel UHD Graphics, HD Camera, HD Audio, Wi-Fi, Bluetooth, Windows 11, Black,  ","22,990",https://amazon.in//Lenovo-V15-G2-Anti-Glare-Bluetooth/dp/B0CVTJSWV1/ref=sr_1_7?crid=2FM0ACFC13V3N&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w&dib_tag=se&keywords=laptop&qid=1727074512&sr=8-7
12,"ASUS Vivobook 15, Intel Celeron N4020, 15.6"" (39.62 cms) HD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 kg), X515MA-BR022WS  ","24,990",https://amazon.in//ASUS-SmartChoice-Integrated-Fingerprint-X515MA-BR024WS/dp/B0C1GM4C6V/ref=sr_1_8?crid=2FM0ACFC13V3N&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w&dib_tag=se&keywords=laptop&qid=1727074512&sr=8-8
13,"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam  ","15,990",https://amazon.in//Chuwi-HeroBook-Pro-Celeron-Mini-HDMI/dp/B0D9RXH8X5/ref=sr_1_9?crid=2FM0ACFC13V3N&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w&dib_tag=se&keywords=laptop&qid=1727074512&sr=8-9
14,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","21,719",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_10?crid=2FM0ACFC13V3N&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w&dib_tag=se&keywords=laptop&qid=1727074512&sr=8-10
15,"Acer [Smartchoice] Aspire Lite AMD Ryzen 7 5700U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/512 GB SSD/MSO) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ","42,499",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NTY0NzA0OTMzMDkyMDg3OjE3MjcwNzQ1MTI6c3BfbXRmOjMwMDE3MzA5NzY2MDYzMjo6MDo6&url=%2FAcer-Smartchoice-Premium-Windows-AL15-41%2Fdp%2FB0CWTLXMMC%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2FM0ACFC13V3N%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727074512%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
16,"Dell Vostro, Core i5-1235U, 12th Gen (8GB RAM/512GB SSD/FHD/Window 11/MS Office' 21/15.6""(38 cm)/15 Month McAfee/Black/1.66kg Laptop  ","47,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NTY0NzA0OTMzMDkyMDg3OjE3MjcwNzQ1MTI6c3BfbXRmOjMwMDEzNzkwMzc3NzczMjo6MDo6&url=%2FDell-i5-1235U-Processor-Antivirus-Spill-Resistant%2Fdp%2FB0CSG4G18G%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2FM0ACFC13V3N%26dib%3DeyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727074512%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
17,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU  ","32,490",https://amazon.in//HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_13?crid=2FM0ACFC13V3N&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w&dib_tag=se&keywords=laptop&qid=1727074512&sr=8-13
18,"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ","15,880",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR49QPM9/ref=sr_1_14?crid=2FM0ACFC13V3N&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w&dib_tag=se&keywords=laptop&qid=1727074512&sr=8-14
19,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","20,990",https://amazon.in//Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PTFFZH/ref=sr_1_15?crid=2FM0ACFC13V3N&dib=eyJ2IjoiMSJ9.vEZLua-h53s4udXVaSr0TLHuvYspCjaQ55yHHytXpOSY0yMZ7NIF6mir-guWOdXLMOe3-_O9zpxS7MXo5i5sS8tC7z7XvprdgRi7NBTrxyRKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_ncyUPUuU9NnL9wAbAEnoT6_4w7JKOwrZ-dB63_Rwqz4jOacXua8gXSUehqvHYH-TUQzZrQAkCn4ZV6_5tDZa80.hIG8SaAZNX2216EDUjjkF7Frht6Tk5tdxJ-0_75A39w&dib_tag=se&keywords=laptop&qid=1727074512&sr=8-15
